Release	Date	%+-YD	%+-LW	Days	google trends	Avg TD	Avg YD	Weekly	Weekly %+-YD	Weekly %+-LW	Avg Theatre	Avg per Theatre Avg	Avg To Date	Y	Week + 1
She Dies Tomorrow	2020-09-28	56.9	-281.9000000000001	441.0	0.16473600000000002	18.428571428571427	18.285714285714285	15190.0	56.9	-281.9000000000001	1.5714285714285714	1767.7142857142858	333527.5714285714	2020-10-05	18968.0
Kajillionaire	2020-09-28	-4.399999999999999	-149.29999999999995	49.0	2.3857142857142857	9.714285714285714	9.0	193730.0	-4.399999999999999	-149.29999999999995	536.7142857142857	50.85714285714285	316101.4285714286	2020-10-05	82645.0
The SpongeBob Movie: Sponge on the Run	2020-09-28	270.8	-243.4	343.0	0.3	11.571428571428573	11.142857142857142	137208.0	270.8	-243.4	230.0	88.0	4490857.571428572	2020-10-05	75090.0
My Brothers' Crossing	2020-09-28	99.0	-176.70000000000005	203.0	0.008736	21.571428571428577	21.428571428571427	3317.0	99.0	-176.70000000000005	12.428571428571427	44.0	56007.0	2020-10-05	1343.0
No Escape	2020-09-28	152.7	-413.1	98.0	3.6888888888888887	18.285714285714285	17.857142857142858	18824.0	152.7	-413.1	43.714285714285715	58.85714285714285	135956.0	2020-10-05	10594.0
The Secrets We Keep	2020-09-28	-133.79999999999998	-404.5	112.0	0.5700000000000001	17.285714285714285	16.285714285714285	22837.0	-133.79999999999998	-404.5	449.0	6.7142857142857135	197342.1428571429	2020-10-05	2212.0
The Personal History of David Copperfield	2020-09-28	8.900000000000006	-371.9	245.0	0.47	14.428571428571427	14.142857142857142	60467.0	8.900000000000006	-371.9	414.71428571428567	23.57142857142857	1814874.0	2020-10-05	21712.0
Draupadi Unleashed	2020-09-28	-42.6	-21.5	26.0	0.0	12.0	11.428571428571427	768.0	-42.6	-21.5	8.571428571428571	7.0	4460.0	2020-10-05	0.0
Dreaming Grand Avenue	2020-09-28	191.3	-246.7	49.0	0.008504496	22.714285714285715	22.57142857142857	829.0	191.3	-246.7	2.0	59.0	6371.714285714284	2020-10-05	101.0
Words on Bathroom Walls	2020-09-28	6.199999999999997	-248.1	294.0	1.12	11.571428571428573	11.0	99931.0	6.199999999999997	-248.1	412.8571428571428	37.57142857142857	2394515.0	2020-10-05	60919.0
The Last Shift	2020-09-28	5.999999999999992	-123.4	49.0	2.21	7.7142857142857135	7.2857142857142865	258907.0	5.999999999999992	-123.4	877.4285714285713	41.57142857142857	380963.2857142858	2020-10-05	102433.0
On the Basis of Sex2020 Re-release	2020-09-28	-57.0	0.0	22.0	0.0	7.428571428571429	7.2857142857142865	25940.0	-57.0	0.0	473.71428571428567	4.142857142857143	41437.142857142855	2020-10-05	0.0
Possessor	2020-09-28	-24.0	0.0	6.0	2.16	3.0	2.0	252664.0	-24.0	0.0	137.14285714285714	112.71428571428572	76810.85714285714	2020-10-05	264534.0
Bill & Ted Face the Music	2020-09-28	-38.6	-392.4	245.0	0.7899999999999999	13.142857142857142	12.571428571428573	65935.0	-38.6	-392.4	290.42857142857144	34.714285714285715	3306743.0	2020-10-05	87855.0
The Way I See It	2020-09-28	-6.400000000000002	-241.8	50.0	0.8730158730158731	10.0	10.142857142857142	4515.0	-6.400000000000002	-241.8	48.0	7.2857142857142865	26902.857142857138	2020-10-05	0.0
Foster Boy	2020-09-28	-132.0	-254.0	98.0	0.312	21.428571428571427	20.857142857142858	2305.0	-132.0	-254.0	1.0	329.2857142857143	19275.14285714286	2020-10-05	10.0
The New Mutants	2020-09-28	132.5	-134.4	245.0	7.74754346182918	1.4285714285714286	1.2857142857142858	1471973.0	132.5	-134.4	2240.285714285714	95.28571428571428	20124002.14285714	2020-10-05	1055664.0
A Call to Spy	2020-09-28	-59.3	0.0	6.0	0.98	7.2857142857142865	4.714285714285714	35098.0	-59.3	0.0	32.142857142857146	66.71428571428571	11170.142857142857	2020-10-05	44250.0
Save Yourselves!	2020-09-28	-19.3	0.0	6.0	0.0	4.428571428571429	2.8571428571428568	142694.0	-19.3	0.0	166.28571428571428	52.28571428571429	42710.57142857143	2020-10-05	113701.0
Infidel	2020-09-28	36.80000000000001	-310.0	98.0	6.984126984126984	3.4285714285714284	3.4285714285714284	741680.0	36.80000000000001	-310.0	1845.142857142857	57.714285714285715	3049623.1428571427	2020-10-05	387576.0
Infidel	2020-10-05	-3.500000000000004	-304.2	147.0	5.079365079365081	4.285714285714286	4.0	387576.0	-3.500000000000004	-304.2	1435.0	44.57142857142857	3635775.7142857136	2020-10-12	150540.0
